symbol,trade_count,annualized_sharpe_ratio,average_return_per_trade,win_rate,max_drawdown,total_return,walk_forward_windows
QQQ,13,-0.29401010773644504,0.00851313742407531,0.6153846153846154,-0.02718830902711833,-0.0037599999999999856,7
SPY,13,-0.8360705734212026,0.0020424575502131707,0.5384615384615384,-0.023214836789344218,-0.007889999999999953,7
GLD,13,-1.0049566612044831,0.007707563889427615,0.5384615384615384,-0.008833198437203316,0.012629999999999919,7
IWM,7,-2.130744430526605,0.008268234061448922,0.5714285714285714,-0.008942873972003218,0.0063013999999999015,7
DIA,12,-2.257729187301133,-0.003441036865463694,0.3333333333333333,-0.014207207745637218,-0.012070000000000025,7
XLK,11,-3.669610162349836,0.001552044852418495,0.36363636363636365,-0.006816269838185396,-0.004233200000000048,7
XLV,8,-5.829708190283272,-0.005877839347661958,0.5,-0.00927064754939566,-0.00567429999999991,7
TLT,10,-10.07798476527192,-0.010456117738359392,0.1,-0.0052736000000001,0.0,7
XLE,8,-12.114744331442388,-0.01469849416939994,0.25,-0.003067086268045305,-0.0018960999999999562,7
XLF,8,-12.246905125406073,0.0030771107548791666,0.75,-0.0037055533359967585,0.00012999999999996348,7
