date,cash,position_shares,close,market_value,equity,daily_return,cum_return,running_peak,drawdown,symbol,test_start
2024-04-17,100000.0,0,425.84,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
2024-04-18,100000.0,0,423.41,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
2024-04-19,100000.0,0,414.65,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
2024-04-22,100000.0,0,418.82,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
2024-04-23,100000.0,0,425.07,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
2024-04-24,100000.0,0,426.51,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
2024-04-25,100000.0,0,424.45,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
2024-04-26,100000.0,0,431.0,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
2024-04-29,100000.0,0,432.75,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
2024-04-30,100000.0,0,424.59,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
2024-05-01,100000.0,0,421.52,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
2024-05-02,100000.0,0,426.9,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
2024-05-03,100000.0,0,435.48,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
2024-05-06,100000.0,0,440.25,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
2024-05-07,100000.0,0,440.32,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
2024-05-08,100000.0,0,440.06,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
2024-05-09,100000.0,0,441.02,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
2024-05-10,100000.0,0,442.06,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
2024-05-13,100000.0,0,443.08,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
2024-05-14,100000.0,0,445.93,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
2024-05-15,100000.0,0,452.9,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-04-17
